,Title,Release Year,Locations,Fun Facts,Director,Writer,Actor 1,Actor 2,Actor 3
111,Etruscan Smile,2017,"Benu Restaurant, 22 Hawthorne Street",,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch
112,Goliath- Season 4,2021,Pier 7,,"Billy Bob Thornton, Lawrence Trilling, Derek Johansen","David E. Kelley, Jonathan Shapiro",Billy Bob Thornton,Nina Arianda,Tania Raymonde
113,Boys and Girls,2000,Aquatic Park (Jefferson Street),"Located at one end of Fisherman's Wharf, Aquatic Park was built as part of FDR's Works Progress Administration Project.",Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,
114,Americana,2015,20th St and Illinois/Faxon St. and Kenwood/Glenbrook at Mt. Springs,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote
115,Chance Season 2,2017,Haight between Central and Ashbury St,,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee
116,Super Pumped: The Battle for Uber,2022,Arkansas St. midblock between Mariposa & 17th St.,,"Allen Coulter, Daniel Gray Longino, John Dahl, Zetna Fuentes","Brian Koppelman & David Levien, Sarah Acosta, Stephen Schiff, Emily Hornsby, Safie M. Dirie, Beth Schacter",Joseph Gordon-Levitt,Kyle Chandler,Kerry Bishé
117,D.O.A,1950,Powell & California Streets,,Rudolph Mate,Russell Rouse,Edmond O'Brien,Pamela Britton,Luther Adler
118,Always Be My Maybe,2019,Golden Gate Music Concourse,,Nahnatchka Khan,"Michael Golamco, Randall Park, Ali Wong",Ali Wong,Randall Park,Keanu Reeves
119,180,2011,Polk & Larkin Streets,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba",Siddarth,Nithya Menon,Priya Anand
120,San Andreas,2015,Broadway and Kearney,,Brad Peyton,Allan Loeb,Dwayne Johnson,,
121,The Presidio,1988,Sansome Street (The Embarcadero),,Peter Hyams,Larry Ferguson,Sean Connery,Mark Harmon,Meg Ryan
122,The Towering Inferno,1974,Grace Cathedral Episcopal Church (1100 California Street),Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.,John Guillermin,Stirling Silliphant,Steve McQueen,Paul Newman,William Holden
123,GirlBoss,2017,Various Haight St. Vintage Shops,,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea
124,Looking Season 2 ep 207,2015,Delores Park,,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
125,A View to a Kill,1985,Embarcadero Freeway,"Embarcadero Freeway, which was featured in the film, was demolished in 1989 because of structural damage from the 1989 Loma Prieta Earthquake)",John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts
126,Steve Jobs,2015,War Memorial Opera House (401 Van Ness Avenue),,Danny Boyle,Aaron Sorkin,Michael Fassbender,Kate Winslet,Seth Rogen
127,Alcatraz,2012,Filbert St. from Jones to Mason,,J.J. Abrams,Steven Lilien,Sarah Jones,Jorge Garcia,
128,Pushing Dead,2016,"Uva Enoteca, 568 Haight Street",,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert
129,The Dead Pool,1988,710 Steiner Street (Hayes Valley),,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,Patricia Clarkson
130,Fathers' Day,1997,,,Ivan Reitman,Lowell Ganz,Robin Williams,Billy Crystal,
131,Vegas in Space,1992,422 Oak Street at Laguna,,Phillip R. Ford,Doris Fish,Doris Fish,Miss X,Ginger Quest
132,The Matrix Resurrections,2021,425 California,,Lana Wachowski,"Lana Wachowski, David Mitchell, Aleksander Hemon",Keanu Reeves,Keanu Reeves,Neil Patrick Harris
133,The Last Black Man in San Francisco,2019,Buena Vista East btwn Duboce and Haight,,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover
134,Chance Season 2,2017,Lombard St between Leavenworth and Hyde St,,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee
135,The Game,1997,City Club (155 Sansome Street),,David Fincher,John Brancato,Michael Douglas,Sean Penn,Deborah Kara Unger
136,A Taiwanese Tale of Two Cities,2018,700 Block of Grant Ave.,,Tien-Lun Yeh,"Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin",Tammy Cheng,Peggy Tseng,Shen-Hao Wen
137,Attack of the Killer Tomatoes,1978,Hyde Street Cable Car,SF Cable Cars are the only moving National Historical Landmark.,John DeBello,John DeBello,David Miller,,
138,Around the Fire,1998,Ocean Beach,"On Jan. 25, 1878, the King Philip ship crashed in Ocean Beach. Occasionally, the ship's wreckage may be found on the beach-- most recently it was seen in 2007.",John Jacobsen,John Comerford,Tara Reid,,
139,Terminator - Genisys,2015,California St. between Drumm St. and Kearny St.,,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,
140,Magnum Force,1973,Vermont Street between 20th and 22nd Streets,,Ted Post,John Milius,Clint Eastwood,Hal Holbrook,Mitchell Ryan
141,Copycat,1995,Sound Factory (1st and Harrison Streets),,Jon Amiel,Ann Biderman,Sigourney Weaver,Holly Hunter,
142,"Looking ""Special""",2016,Van Ness and Market Street MUNI exit,"The character of Doris was originally a recurring role, but everyone on the team liked Lauren Weedman's performance so much that she became a full time regular during the second season.",Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
143,"Murder in the First, Season 1",2014,373 Columbus Avenue,,Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
144,"Murder in the First, Season 2",2015,83 Watchman Way,,Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
145,Sense8 - Season 2,2016,"The Women's Building, 3543 18th St.","The mural painted outside the building was painted by 7 women artists including Juana Alicia, Miranda Bergman and Meera Desai. The computer lab scene was filmed inside the building.",Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings",Jamie Clayton,Daryl Hannah,Naveen Andrews
146,Sense8 - Season 2,2016,Green between Kearny and Montgomery,,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings",Jamie Clayton,Daryl Hannah,Naveen Andrews
147,DEVS,2020,Mission at 20th St,,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha
148,A Taiwanese Tale of Two Cities,2018,Pier 5,,Tien-Lun Yeh,"Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin",Tammy Cheng,Peggy Tseng,Shen-Hao Wen
149,Ant-Man,2015,Broadway between Powell and Davis,Driving shots,Peyton Reed,Gabriel Ferrari,Michael Douglas,Paul Rudd,
150,The Last Black Man in San Francisco,2019,Eddy St btwn Leavenworth and Hyde St,,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover
151,DEVS,2020,Embarcadero at Harrison St,,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha
152,Venom,2018,Stockton Tunnel btwn Sutter and Sacramento,Motorcycle/SUV chase scene,Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg",Tom Hardy,Michelle Wiliams,Riz Ahmed
153,Blue Jasmine,2013,Ocean Beach at Lincoln,,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard
154,When We Rise,2017,440 Castro St.,,Gus Van Sant,Dustin Lance Black,Guy Pierce,Mary-Louise Parker,Michael Kenneth Williams
155,A View to a Kill,1985,Van Ness Avenue,,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts
