,Title,Release Year,Locations,Fun Facts,Director,Writer,Actor 1,Actor 2,Actor 3
156,Woman on the Run,1950,819 Mason Street at Pine,,Norman Foster,Norman Foster,Ann Sheridan,Dennis O'Keefe,Robert Keith
157,Bitter Melon,2018,145 9th St,,H.P. Mendoza,H.P. Mendoza,Jon Norman Schneider,Patrick Epino,Brian Rivera
158,Looking Season 2 ep 205,2015,1119 Alabama Street,,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
159,Tales of the City,2019,Green btwn Jasper and Bannam,,"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley",Laura Linney,Ellen Page,Murray Bartlett
160,Terminator - Genisys,2015,San Francisco - Oakland Bay Bridge,,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,
161,Mrs. Doubtfire,1993,Hancock School (940 Filbert Street),,Chris Columbus,Randi Mayem Singer,Robin Williams,Sally Field,Pierce Brosnan
162,Surface,2022,"2 New Montgomery Street, Palace Hotel",,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates","Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Martín Zimmerman",Gugu Mbatha-Raw,Oliver Jackson-Cohen,Ari Graynor
163,So I Married an Axe Murderer,1993,Fog City Diner (1300 Battery Street),,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,
164,Bullitt,1968,Larkin & Chestnut Streets (Russian Hill),,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Robert Vaughn
165,Always Be My Maybe,2019,California Cable Car Line,,Nahnatchka Khan,"Michael Golamco, Randall Park, Ali Wong",Ali Wong,Randall Park,Keanu Reeves
166,Sonic the Hedgehog,2020,Areas around TransAmerica Building,,Jeff Fowler,"Josh Miller, Patrick Casey, Oren Uziel",Jim Carrey,James Marsden,Ben Schwartz
167,Joy Luck Club,1993,180 Manchester Street,,Wayne Wang,Amy Tan,Kieu Chinh,Tsai Chin,France Nuyen
168,Looking Season 2 ep 210,2015,SF City Hall Polk Street Steps,,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
169,High Crimes,2002,Maiden Lane,,Mel Brooks,Mel Brooks,Mel Brooks,Madeline Kahn,
170,The Bachelor,1999,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)","Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials.",Gary Sinyor,Steve Cohen,Chris O'Donnell,Renee Zellweger,
171,Steve Jobs,2015,Intersection of Columbus and Kearny,,Danny Boyle,Aaron Sorkin,Michael Fassbender,Kate Winslet,Seth Rogen
172,Women is Losers,2020,St. John's United Church - 501 Laguna Honda Blvd.,,Lissette Feliciano,Lissette Feliciano,Lorenza Izzo,Simu Liu,Liza Weil
173,Pacific Heights,1990,Financial District,,John Schlesinger,Daniel Pyne,Melanie Griffith,Matthew Modine,
174,Sense8,2015,Corbett St.,"Bicycle chase scene, actors dressed as fake officers present",The Wachowskis,The Wachowskis,Jamie Clayton,,
175,Swing,2003,Regency Building (1290 Sutter Street),,Martin Guigui,Mary Keil,Constance Brenneman,,
176,The Diary of a Teenage Girl,2015,770 Haight St.,,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni
177,"Smile Again, Jenny Lee",2015,Gaspare's Pizza House (5546 Geary Blvd.),,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa
178,Bicentennial Man,1999,Grace Cathedral Episcopal Church (1100 California Street),Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.,Chris Columbus,Nicholas Kazan,Robin Williams,,
179,Venom: Let There Be Carnage,2021,6th Street and Jessie Street,,Andy Serkis,Kelly Marcel,Tom Hardy,Michelle Wiliams,Woody Harrelson
180,Nash Bridges,2021,Tayor Street at The Embarcadero,,Greg Beeman,"Carlton Cuse, Bill Chais",Don Johnson,Cheech Marin,Joe Dinicol
181,Tales of the City,2019,Clarion Alley,,"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley",Laura Linney,Ellen Page,Murray Bartlett
182,Birth of the Dragon,2016,California at Mason,,George Nolfi,"Christopher Wilkinson, Stephen J. Rivele",Philip Ng,Billy Magnussen,Yu Xia
183,Just One Night,2000,Ferry Building,"Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.",Alan Jacobs,Alan Jacobs,Timothy Hutton,Maria Grazia Cucinotta,
184,Blue Jasmine,2013,Trolley Car from Market and 11th,,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard
185,Ant-Man and the Wasp,2018,Vallejo St btwn Montgomery and Davis,Stunt scene involving weaving car,Peyton Reed,Chris McKenna,Paul Rudd,Evangeline Lilly,Michael Douglas
186,Big Eyes,2014,Green St. & Grant Ave.,,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz
187,Americana,2015,33 Spruce St,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote
188,Clickbait,2021,Pier 7,,"Brad Anderson, Emma Freeman, Cherie Nowlan, Ben Young","Tony Ayres, Christian White",Zoe Kavan,Betty Gabriel,Adrian Grenier
189,The Competition,1980,Pier 39,,Joel Oliansky,Joel Oliansky,Richard Dreyfuss,Amy Irving,Lee Remick
190,Surface,2022,Fillmore Street between Haight and Waller,,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates","Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Martín Zimmerman",Gugu Mbatha-Raw,Oliver Jackson-Cohen,Ari Graynor
191,Mrs. Doubtfire,1993,100 Embarcadero Street,,Chris Columbus,Randi Mayem Singer,Robin Williams,Sally Field,Pierce Brosnan
192,Chance - Season 1 Pilot,2016,"William Stout Architectural Books, 804 Montgomery St.",,Lenny Abrahamson,Alexandra Cunningham and Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee
193,Bullitt,1968,Bay Bridge,"Before opening in 1936, the bridge was blessed by Cardinal Secretary of State Eugenio Pacelli, who later became Pope Pius XII.",Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Robert Vaughn
194,Ballers Season 3,2017,Driving around Taylor/Pacific/Leavenworth,,Julian Farino,Stephen Levinson,Dwayne Johnson,John David Washington,Omar Benson Miller
195,Chance- Season 1 ep104,2016,1018 Tennessee St.,,Carl Franklin,Peter Elkoff,Hugh Laurie,Gretchen Mol,Ethan Suplee
196,Red Widow,2013,Vallejo Street Garage,,Alon Aranya,Melissa Rosenberg,Radha Mitchell,Sterling Beaumon,Clifton Collins Jr.
197,"Murder in the First, Season 3",2016,Harriet Alley,,Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
198,The Game,1997,Mason & California Streets (Nob Hill),,David Fincher,John Brancato,Michael Douglas,Sean Penn,Deborah Kara Unger
199,Twisted,2004,"McCovey Point, China Basin Park (24 Willy Mays Plaza)",,Philip Kaufman,Sarah Thorp,Ashley Judd,Samuel L. Jackson,
200,Dirty Harry,1971,The Embarcadero,,Don Siegel,Harry Julian Fink,Clint Eastwood,Harry Guardino,
201,I Am Michael,2015,Flint & 16th (Castro),,Justin Kelly,Justin Kelly,James Franco,Emma Roberts,Zachary Quinto
202,Star Trek IV: The Voyage Home,1986,Golden Gate Park,,Leonard Nimoy,Steve Meerson,William Shatner,Leonard Nimoy,George Takei
203,San Andreas,2015,2nd St. at Townsend St.,,Brad Peyton,Allan Loeb,Dwayne Johnson,,
204,Tales of the City,2019,Lyon and Broadway,,"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley",Laura Linney,Ellen Page,Murray Bartlett
205,"Play it Again, Sam",1972,Balboa at 22nd Avenue,,Herbert Ross,Woody Allen,Woody Allen,Diane Keaton,Tony Roberts
206,The Phone/Jexi,2019,Transbay Terminal - Fremont at Minna,,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena
207,Looking,2014,Treasure Island,,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett
208,Surface,2022,Palace of Fine Arts,,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates","Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Martín Zimmerman",Gugu Mbatha-Raw,Oliver Jackson-Cohen,Ari Graynor
209,Venom: Let There Be Carnage,2021,"Grace Cathedral Church, 1100 California Street",,Andy Serkis,Kelly Marcel,Tom Hardy,Michelle Wiliams,Woody Harrelson
210,Sense8,2015,"""Metzger's Apt"" 151 Alice B. Toklas Pl.","Overnight scene involving aggressive arguments between actors, spfx shoot out involved",The Wachowskis,The Wachowskis,Jamie Clayton,,
211,Looking Season 2 ep 204,2015,3650 21st Street,,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
212,The Last Black Man in San Francisco,2019,"Ford's Grocery Store, 1496 Oakdale Ave",,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover
213,I Remember Mama,1948,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.",George Stevens,DeWitt Bodeen,Irene Dunne,Barbara Bel Geddes,Oskar Homolka
214,Chance- Season 1 ep104,2016,"Bayview Police Station, 201 Williams Ave.",,Carl Franklin,Peter Elkoff,Hugh Laurie,Gretchen Mol,Ethan Suplee
215,Silicon Valley Season 4,2017,Moscone Center Parking Garage/3rd St.,,Mike Judge,John Altschuler,Thomas Middleditch,T.J. Miller,Josh Brener
216,The Wedding Planner,2001,Grace Cathedral Episcopal Church (1100 California Street),Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.,Adam Shankman,Pamela Falk,Jennifer Lopez,Matthew McConaughey,
217,"Looking ""Special""",2016,"The End Up, 401 6th Streeet",,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
218,Stigmata,1999,19th and Kansas St.,,Rupert Wainwright,Tom Lazarus,Patricia Arquette,Gabriel Byrne,
219,Super Pumped: The Battle for Uber,2022,California Street at Sansome Street,,"Allen Coulter, Daniel Gray Longino, John Dahl, Zetna Fuentes","Brian Koppelman & David Levien, Sarah Acosta, Stephen Schiff, Emily Hornsby, Safie M. Dirie, Beth Schacter",Joseph Gordon-Levitt,Kyle Chandler,Kerry Bishé
220,Patty Hearst,1988,Bank of America (38th Street at Balboa Street),"The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast.",Paul Schrader,Nicholas Kazan,Natasha Richardson,William Forsythe,Ving Rhames
221,San Francisco,1936,City Hall,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",W.S. Van Dyke,Anita Loos,Clark Gable,Jeanette MacDonald,Spencer Tracy
222,Looking,2014,222 Mason St.,,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett
223,On the Road,2012,Bay Bridge,,Walter Salles,Jack Kerouac & Jose Rivera,Garrett Hedlund,Viggo Mortenson,
224,Need For Speed,2014,Powell St. from Geary to Sacramento,,Scott Waugh,George Gatins,Aaron Paul,Dominic Cooper,Imogen Poots
225,Foul Play,1978,California & Larkin Streets (Nob Hill),,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith
226,When We Rise,2017,"Women's Building, 3543 18th St.",Roma Guy was one of the founders of the Women's Building,Gus Van Sant,Dustin Lance Black,Guy Pierce,Mary-Louise Parker,Michael Kenneth Williams
227,My Big Fat Chinese Christmas,2022,Montgomery Street between Clay and California,,Jennifer Liao,"Blaine Chiappetta ,Marguerite Henry, Justine Wentzell-Chang",Shannon Chan-Kent,Shannon Kook,Tia Carrere
228,Goliath- Season 4,2021,"Caffe Trieste, 601 Vallejo st",,"Billy Bob Thornton, Lawrence Trilling, Derek Johansen","David E. Kelley, Jonathan Shapiro",Billy Bob Thornton,Nina Arianda,Tania Raymonde
229,Ant-Man and the Wasp,2018,Leavenworth St at Lombard St,,Peyton Reed,Chris McKenna,Paul Rudd,Evangeline Lilly,Michael Douglas
230,Ant-Man and the Wasp,2018,Jefferson St at Taylor St,,Peyton Reed,Chris McKenna,Paul Rudd,Evangeline Lilly,Michael Douglas
231,Venom: Let There Be Carnage,2021,Montgomery and Green,,Andy Serkis,Kelly Marcel,Tom Hardy,Michelle Wiliams,Woody Harrelson
232,Chance - Season 1 Pilot,2016,940 Powell St.,,Lenny Abrahamson,Alexandra Cunningham and Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee
233,GirlBoss,2017,"Underground SF, 424 Haight St.",,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea
234,Chance- Season 1 ep103,2016,60 Potomac,,Michael Lehmann,Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee
235,Invasion of the Body Snatchers,1978,Hamlin Hotel (385 Eddy Street),,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,Brooke Adams
236,The Last Thing He Told Me,2023,Chestnust Street at Steiner,,"Olivia Newman, Deniz Gamze Ergüven, Daisy Von Scherler Mayer,
Lila Neugebauer",Laura Dave,Jennifer Garner,Angourie Rice,Aisha Tyler
237,The OA Part II,2019,"Red's Java House (Pier 30-32, The Embarcadero)",,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson
238,Pushing Dead,2016,2930 3rd Street,,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert
239,Time After Time,1979,Golden Gate Park,Golden Gate Park is similar in shape but 20% larger than New York's Central Park.,Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,David Warner
240,Getting Even with Dad,1994,"Neiman Marcus (150 Stockton Street, Union Square)",The City of Paris department store previously occupied the space that now houses Neiman Marcus. City of Paris' original rotunda and glass dome were incorporated into Neiman Marcus' design.,Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,
241,Chance - Season 1 Pilot,2016,"Warren's Antiques, 375 9th St.",,Lenny Abrahamson,Alexandra Cunningham and Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee
242,Ant-Man and the Wasp: Quantumania,2023,601 Buena Vista West,,Peyton Reed,Jeff Loveness,Paul Rudd,Evangeline Lilly,Jonathan Majors
243,Chance Season 2,2017,Market St at Embarcadero,,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee
244,The Matrix Resurrections,2021,Harry Bridges Plaza and Embarcadero,,Lana Wachowski,"Lana Wachowski, David Mitchell, Aleksander Hemon",Keanu Reeves,Keanu Reeves,Neil Patrick Harris
245,The Dead Pool,1988,Folsom & Essex Streets,,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,Patricia Clarkson
246,The Phone/Jexi,2019,Brannan btwn 2nd and 5th St,,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena
247,Nora Prentiss,1947,Belgravia Apartments (795 Sutter Street at Jones),,Vincent Sherman,N. Richard Nash,Ann Sheridan,Kent Smith,Bruce Bennett
248,Shit and Champagne,2020,Castro btwn Market and 18th St,,D'Arcy Drollinger,D'Arcy Drollinger,D'Arcy Drollinger,Matthew Martin,Steven LeMay
249,"Budding Prospects, Pilot",2017,Lucky Street,,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)",Adam Rose,Will Sasso,Joel David Moore
250,"Smile Again, Jenny Lee",2015,City Hall,,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa
251,A Taiwanese Tale of Two Cities,2018,San Francisco City Hall,,Tien-Lun Yeh,"Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin",Tammy Cheng,Peggy Tseng,Shen-Hao Wen
252,Sense8,2015,22nd St.,Driving shots,The Wachowskis,The Wachowskis,Jamie Clayton,,
253,Beautiful Boy,2018,Tenderloin Neighborhood,,Felix van Groeningen,Luke Davies,Steve Carell,Timothee Chalamet,Maura Tierney
254,Alexander's Ragtime Band,1938,Cliff House (1090 Point Lobos Avenue),"In 1887, the Cliff House was severely damaged when the schooner Parallel, abandoned and loaded with dynamite, ran aground on the rocks below.",Henry King,Kathryn Scola,Tyrone Power,Alice Faye,Don Ameche
255,"Smile Again, Jenny Lee",2015,1328 Portola,,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa
256,Shit and Champagne,2020,Burns Pl. Alley at 11th St,,D'Arcy Drollinger,D'Arcy Drollinger,D'Arcy Drollinger,Matthew Martin,Steven LeMay
257,A Smile Like Yours,1997,Hills Brothers Plaza (Embarcadero at Harrison Street),,Keith Samples,Keith Samples & Kevin Meyer,Greg Kinnear,Lauren Holly,
258,The Enforcer,1976,Balmy Street (Mission District),,James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,Harry Guardino
259,Jagged Edge,1985,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Richard Marquand,Joe Eszterhas,Glenn Close,Jeff Bridges,Peter Coyote
260,Ant-Man and the Wasp,2018,544 Jones,VFX Plate Shots,Peyton Reed,Chris McKenna,Paul Rudd,Evangeline Lilly,Michael Douglas
261,D.O.A,1950,Market & Steuart Streets (Financial District),,Rudolph Mate,Russell Rouse,Edmond O'Brien,Pamela Britton,Luther Adler
262,Age of Adaline,2015,Driving various SF Streets,,Lee Toland Krieger,J. Mills Goodloe,Blake Lively,Harrison Ford,Ellen Burstyn
263,Chance- Season 1 ep107,2016,157 Commonwealth,,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee
264,The Other Sister,1999,Transbay Terminal (Mission Street at 1st Street),"Built in 1939, the Terminal linked San Francisco, the East Bay, and Sacramento by rail for the first time.",Garry Marshall,Garry Marshall,Juliette Lewis,Diane Keaton,
265,Summertime,2015,Alamo Square,,Gabriele Muccino,Gabriele Muccino,Jessica Rothe,Scott Bakula,Matilda Anna Ingrid Lutz
266,Greed,1924,Bush and Sutter Streets,,Eric von Stroheim,Eric von Stroheim,Zasu Pitts,Gibson Gowland,Jean Hersholt
267,The OA Part II,2019,Duncan St at Diamond Heights,,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson
268,Golden Gate,1994,Ross Alley (Chinatown),Ross Alley is the oldest alley in San Francisco.,John Madden,David Henry Hwang,Matt Dillon,Joan Chen,
269,The Last Black Man in San Francisco,2019,Haight and Belvedere,,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover
270,"Looking ""Special""",2016,"Capital Restaurant, 839 Clay Street","Russell Tovey originally auditioned for the role of Patrick, but was unsuccessful. After the show got picked up, the character of Kevin was written with him in mind.",Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
271,Nash Bridges,2021,Jeremiah O'Brien ship at Pier 35,,Greg Beeman,"Carlton Cuse, Bill Chais",Don Johnson,Cheech Marin,Joe Dinicol
272,Surface,2022,Post Street between Montgomery and Kearny,,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates","Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Martín Zimmerman",Gugu Mbatha-Raw,Oliver Jackson-Cohen,Ari Graynor
273,The Organization,1971,,,Don Medford,James R. Webb,Sidney Poitier,Barbara McNair,
274,Tales of the City,2019,Grant and Green St,,"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley",Laura Linney,Ellen Page,Murray Bartlett
275,Bitter Melon,2018,788 Minna St,,H.P. Mendoza,H.P. Mendoza,Jon Norman Schneider,Patrick Epino,Brian Rivera
276,Terminator - Genisys,2015,Mission at 1st and 2nd,,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,
277,The Bachelor,1999,Moose's Restaurant (1652 Stockton),,Gary Sinyor,Steve Cohen,Chris O'Donnell,Renee Zellweger,
278,The Wedding Planner,2001,Pier 7 (The Embarcadero),,Adam Shankman,Pamela Falk,Jennifer Lopez,Matthew McConaughey,
279,The Woman In Red,1984,Palace of Fine Arts (3301 Lyon Street),"The original Palace was built for the 1915 Panama-Pacific Exposition, and completely destroyed in 1964. It was rebuilt in 1965.",Gene Wilder,Jean Loup Dabadie & Yves Robert,Gene Wilder,Charles Grodin,
280,Raising Cain,1992,,,Brian DePalma,Brian DePalma,John Lithgow,,
281,Women is Losers,2020,44 Edna St,,Lissette Feliciano,Lissette Feliciano,Lorenza Izzo,Simu Liu,Liza Weil
282,Birdman of Alcatraz,1962,Alcatraz Island,Alcatraz Island was a military fort before it became a prison.,John Frankenheimer,Guy Trosper,Burt Lancaster,Karl Maden,Thelma Ritter
283,Alive,2020,Palace of Fine Arts,,Uta Briesewitz,Jason Tracey,Ryan Phillippe,Mageina Tovah,Katrina Law
284,The Diary of a Teenage Girl,2015,Higher Grounds Coffee House,,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni
285,DEVS,2020,Broadway btwn Polk and Kearny,,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha
